classify	group_tcr_asset_amt	age	year_activity_level	vehicle_loss_insured_value	last_quar_deposit_ave_bal	city	group_new_customer_flag	group_asset_level	education_cd	tcr_asset_mon_chg_amt
1	24000.0	35.0	0.0	0	0.0	1	0	2	4	0.0
1	17198.96	49.0	0.0	59800	0.0	21	0	2	7	0.0
1	44539.1	38.0	6.0	126783	0.0	7	0	3	7	988.0
1	57956.0	54.0	0.0	0	0.0	21	0	4	7	0.0
1	95022.18	40.0	3.0	0	1105.59	7	0	4	4	2232.69
1	73326.9	40.0	1.0	97000	4304.45	7	0	4	5	-9354.59
1	347844.32	48.0	3.0	0	1457.3	4	0	4	7	1006.51
1	273226.06	38.0	6.0	0	0.0	21	0	5	7	100.0
1	3780.99	35.0	0.0	123000	0.0	7	0	3	0	0.0
1	665.0	57.0	0.0	283000	0.0	18	0	0	0	0.0
1	44787.1	46.0	1.0	170200	0.0	1	0	4	7	0.0
1	4976.5	63.0	0.0	280800	0.44	12	0	4	5	-36.33
1	4091.84	40.0	0.0	120000	0.0	21	0	3	0	0.0
1	292906.34	41.0	6.0	273600	0.0	21	0	4	5	2232.94
1	39600.07	36.0	0.0	200000	0.07	21	0	5	8	0.0
1	49475.21	43.0	0.0	56000	0.0	21	0	4	0	0.0
1	154975.03	45.0	4.0	62100	0.0	21	0	4	5	1531.0
1	1295.0	36.0	0.0	55000	0.0	21	0	0	0	0.0
1	17914.85	34.0	4.0	0	2135.15	3	0	4	7	7001.43
1	15718.18	38.0	3.0	0	8507.19	1	0	4	4	-9076.2
1	101660.0	31.0	0.0	45800	0.0	21	0	3	0	0.0
1	21869.15	54.0	0.0	313000	0.0	21	0	4	8	-1583.51
1	4069.1	37.0	3.0	164588	0.0	4	0	3	0	0.0
1	45291.32	35.0	0.0	33000	0.0	1	0	2	4	0.0
1	43857.9	40.0	0.0	0	43857.9	8	0	5	5	1363.52
1	10273.36	50.0	2.0	0	198.3	21	0	3	7	-601.24
1	6065.02	38.0	0.0	269900	0.0	21	0	4	0	0.0
1	22143.63	28.0	1.0	0	1333.63	14	0	3	0	-439.13
1	9535.22	38.0	0.0	355000	0.0	9	0	4	0	0.0
1	21851.0	34.0	9.0	0	3628.34	7	0	4	7	1667.72
1	9692.49	44.0	2.0	333498	3.92	2	0	4	0	-2.12
1	0.0	59.0	0.0	111800	0.0	3	0	0	0	-1405.6
1	9987.1	45.0	0.0	191800	1695.76	10	0	5	0	-1393.92
1	88038.55	36.0	0.0	100000	808.77	21	0	4	5	12676.19
1	49567.2	54.0	0.0	100000	0.0	19	0	2	7	6643.5
1	2054.77	37.0	2.0	118830	0.0	3	0	2	0	0.0
1	224456.57	29.0	6.0	0	20969.63	3	0	4	0	-6992.36
1	1345.28	27.0	2.0	53483	0.0	21	0	2	0	1345.28
1	2107.0	27.0	0.0	34000	0.0	21	0	2	0	0.0
1	105061.07	29.0	11.0	101800	0.0	9	0	4	6	-50.0
1	127171.11	33.0	2.0	44500	1005.91	2	0	3	4	12412.17
